item_key,y_ord,interface_cond,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
r2,5,dashboard,0.18331339259067245,0.021485608764882525,Inf,0.1412023732255846,0.2254244119557603,0.1412023732255846,0.2254244119557603,NA,NA
r2,6,dashboard,0.18280270288655925,0.02447305922371726,Inf,0.13483638821655766,0.23076901755656085,0.13483638821655766,0.23076901755656085,NA,NA
r2,7,dashboard,0.11335532530596137,0.025028940363681217,Inf,0.06429950362194536,0.16241114698997738,0.06429950362194536,0.16241114698997738,NA,NA
r3,1,chatbot,0.030026702190763338,0.011238196540884326,Inf,0.008000241719447448,0.052053162662079225,0.008000241719447448,0.052053162662079225,NA,NA
r3,2,chatbot,0.044101834923960165,0.012607558632196182,Inf,0.01939147407187859,0.06881219577604174,0.01939147407187859,0.06881219577604174,NA,NA
r3,3,chatbot,0.04940239168823129,0.012644057322737802,Inf,0.024620494717205264,0.07418428865925732,0.024620494717205264,0.07418428865925732,NA,NA
r3,4,chatbot,0.09602423910403089,0.0185767437219522,Inf,0.05961449045897403,0.13243398774908777,0.05961449045897403,0.13243398774908777,NA,NA
r3,5,chatbot,0.2574891595486086,0.028119564091915066,Inf,0.20237582666748935,0.3126024924297279,0.20237582666748935,0.3126024924297279,NA,NA
r3,6,chatbot,0.26137409849649906,0.027733135274631924,Inf,0.20701815217984315,0.315730044813155,0.20701815217984315,0.315730044813155,NA,NA
r3,7,chatbot,0.2615815740479066,0.04785672164761884,Inf,0.16778412320041536,0.35537902489539785,0.16778412320041536,0.35537902489539785,NA,NA
r3,1,dashboard,0.07843396801063303,0.0217352067132478,Inf,0.03583374565613415,0.12103419036513191,0.03583374565613415,0.12103419036513191,NA,NA
r3,2,dashboard,0.08361182828207774,0.018401750552208895,Inf,0.04754505994725826,0.11967859661689721,0.04754505994725826,0.11967859661689721,NA,NA
r3,3,dashboard,0.07961204804404952,0.016764969678208046,Inf,0.046753311272855695,0.11247078481524334,0.046753311272855695,0.11247078481524334,NA,NA
r3,4,dashboard,0.13260791763156377,0.021188814144775147,Inf,0.09107860503269162,0.17413723023043592,0.09107860503269162,0.17413723023043592,NA,NA
r3,5,dashboard,0.2784656499516943,0.02673757310535508,Inf,0.2260609696311916,0.33087033027219703,0.2260609696311916,0.33087033027219703,NA,NA
r3,6,dashboard,0.2097317941595999,0.027498402120441405,Inf,0.1558359163711349,0.2636276719480649,0.1558359163711349,0.2636276719480649,NA,NA
r3,7,dashboard,0.13753679392038176,0.0329498917489123,Inf,0.07295619279802017,0.20211739504274334,0.07295619279802017,0.20211739504274334,NA,NA
