y_ord,interface_cond,task_complexity,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL
13,dashboard,easy,0.0535080394415266,0.018122299221714433,Inf,0.01798898564990807,0.08902709323314513,0.01798898564990807,0.08902709323314513
14,dashboard,easy,0.016138052432795202,0.007514823269209492,Inf,0.0014092694749610543,0.03086683539062935,0.0014092694749610543,0.03086683539062935
15,dashboard,easy,0.009935625947737226,0.0053996734774461475,Inf,-6.475395963333724e-4,0.020518791491807825,-6.475395963333724e-4,0.020518791491807825
16,dashboard,easy,0.0021520333429667637,0.001606279600233125,Inf,-9.962168225915564e-4,0.005300283508525084,-9.962168225915564e-4,0.005300283508525084
17,dashboard,easy,4.555694803259902e-4,4.5991874963780205e-4,Inf,-4.4585470477879563e-4,0.001356993665430776,-4.4585470477879563e-4,0.001356993665430776
18,dashboard,easy,1.9381635503279426e-4,2.351215017814263e-4,Inf,-2.6701332044977135e-4,6.546460305153598e-4,-2.6701332044977135e-4,6.546460305153598e-4
19,dashboard,easy,1.546757796477838e-5,3.1194877661183685e-5,Inf,-4.56732587532747e-5,7.660841468283146e-5,-4.56732587532747e-5,7.660841468283146e-5
1,chatbot,mid,0.025436677338154065,0.013625999072405462,Inf,-0.0012697900971368192,0.05214314477344495,-0.0012697900971368192,0.05214314477344495
2,chatbot,mid,0.11750310003325741,0.03507752682194994,Inf,0.04875241079549779,0.18625378927101705,0.04875241079549779,0.18625378927101705
3,chatbot,mid,0.15868500942409616,0.03309465062328949,Inf,0.09382068612151272,0.2235493327266796,0.09382068612151272,0.2235493327266796
4,chatbot,mid,0.17279559740275602,0.028534093812664373,Inf,0.11686980119844667,0.22872139360706537,0.11686980119844667,0.22872139360706537
5,chatbot,mid,0.16074627421535198,0.025902110021471993,Inf,0.10997907144967288,0.21151347698103107,0.10997907144967288,0.21151347698103107
6,chatbot,mid,0.0993327076011985,0.020796580395213513,Inf,0.05857215902498826,0.14009325617740875,0.05857215902498826,0.14009325617740875
7,chatbot,mid,0.07664462372786407,0.018214664242807314,Inf,0.040944537821472206,0.11234470963425594,0.040944537821472206,0.11234470963425594
8,chatbot,mid,0.05385582871640138,0.014922826510630528,Inf,0.024607626208026024,0.08310403122477673,0.024607626208026024,0.08310403122477673
9,chatbot,mid,0.06387422870379245,0.018299839809648555,Inf,0.028007201754028967,0.09974125565355593,0.028007201754028967,0.09974125565355593
10,chatbot,mid,0.02115660413409881,0.008109959739531476,Inf,0.005261375128547283,0.03705183313965034,0.005261375128547283,0.03705183313965034
11,chatbot,mid,0.023800570143120536,0.009416389671682353,Inf,0.0053447855222281855,0.04225635476401289,0.0053447855222281855,0.04225635476401289
12,chatbot,mid,0.013925517690047795,0.006403641847077121,Inf,0.0013746102998830924,0.026476425080212498,0.0013746102998830924,0.026476425080212498
13,chatbot,mid,0.009332303425021116,0.004986376056516293,Inf,-4.408140591236776e-4,0.019105420909165907,-4.408140591236776e-4,0.019105420909165907
14,chatbot,mid,0.00192343038565701,0.0013193173889611174,Inf,-6.623841808842015e-4,0.004509244952198222,-6.623841808842015e-4,0.004509244952198222
15,chatbot,mid,8.450789499144795e-4,6.774045345368295e-4,Inf,-4.826095407418252e-4,0.002172767440570784,-4.826095407418252e-4,0.002172767440570784
16,chatbot,mid,1.1891948762632332e-4,1.2333661660264144e-4,Inf,-1.2281583888987873e-4,3.606548141425254e-4,-1.2281583888987873e-4,3.606548141425254e-4
17,chatbot,mid,1.781878910411816e-5,2.360353783536752e-5,Inf,-2.844329496093068e-5,6.4080873169167e-5,-2.844329496093068e-5,6.4080873169167e-5
18,chatbot,mid,5.460417538794005e-6,8.647597069877792e-6,Inf,-1.1488561270980565e-5,2.2409396348568574e-5,-1.1488561270980565e-5,2.2409396348568574e-5
19,chatbot,mid,2.4941499898734065e-7,6.208627449120968e-7,Inf,-9.674536203830475e-7,1.4662836183577288e-6,-9.674536203830475e-7,1.4662836183577288e-6
1,dashboard,mid,0.002079419480225181,0.0016362192839272866,Inf,-0.0011275113870822169,0.0052863503475325795,-0.0011275113870822169,0.0052863503475325795
2,dashboard,mid,0.02174351101239067,0.010386252970457418,Inf,0.0013868292559719789,0.04210019276880936,0.0013868292559719789,0.04210019276880936
3,dashboard,mid,0.05209995143809478,0.017775747998972132,Inf,0.017260125561849478,0.08693977731434008,0.017260125561849478,0.08693977731434008
4,dashboard,mid,0.08824496446861092,0.022634694210095327,Inf,0.0438817790157468,0.13260814992147504,0.0438817790157468,0.13260814992147504
5,dashboard,mid,0.12093786911402507,0.02431603040275934,Inf,0.0732793252776358,0.16859641295041433,0.0732793252776358,0.16859641295041433
6,dashboard,mid,0.10201522555223586,0.020714372552550375,Inf,0.0614158013868921,0.14261464971757962,0.0614158013868921,0.14261464971757962
7,dashboard,mid,0.1004383527552456,0.01995032979054554,Inf,0.06133642488607982,0.13954028062441137,0.06133642488607982,0.13954028062441137
8,dashboard,mid,0.08768921690285503,0.018550335801865773,Inf,0.05133122683007418,0.12404720697563587,0.05133122683007418,0.12404720697563587
9,dashboard,mid,0.13501251649995205,0.023253498724272202,Inf,0.08943649648583045,0.18058853651407364,0.08943649648583045,0.18058853651407364
10,dashboard,mid,0.05760640703184661,0.015245524139187375,Inf,0.027725728793603348,0.08748708527008986,0.027725728793603348,0.08748708527008986
11,dashboard,mid,0.07993121192744634,0.019031640944887015,Inf,0.04262988110876996,0.11723254274612273,0.04262988110876996,0.11723254274612273
12,dashboard,mid,0.06144295329425231,0.01715581578638994,Inf,0.027818172227524328,0.09506773436098029,0.027818172227524328,0.09506773436098029
13,dashboard,mid,0.058191396832763975,0.018826825026247808,Inf,0.021291497838080924,0.09509129582744702,0.021291497838080924,0.09509129582744702
14,dashboard,mid,0.017962308135650584,0.008211531978628625,Inf,0.0018680011996395525,0.03405661507166162,0.0018680011996395525,0.03405661507166162
15,dashboard,mid,0.011294416068566848,0.006120607670716801,Inf,-7.017545295376695e-4,0.023290586666671366,-7.017545295376695e-4,0.023290586666671366
16,dashboard,mid,0.0025118296061630296,0.0018678860288024917,Inf,-0.0011491597375153993,0.006172818949841459,-0.0011491597375153993,0.006172818949841459
17,dashboard,mid,5.430933705978802e-4,5.458913654755813e-4,Inf,-5.268340452056508e-4,0.0016130207864014112,-5.268340452056508e-4,0.0016130207864014112
18,dashboard,mid,2.358673061626515e-4,2.8640755768543654e-4,Inf,-3.254811918008819e-4,7.972158041261849e-4,-3.254811918008819e-4,7.972158041261849e-4
19,dashboard,mid,1.9489202914613202e-5,3.9153968285504595e-5,Inf,-5.725116477679927e-5,9.622957060602568e-5,-5.725116477679927e-5,9.622957060602568e-5
1,chatbot,hard,7.495314014735187e-4,6.606419680446391e-4,Inf,-5.453030625696349e-4,0.0020443658655166725,-5.453030625696349e-4,0.0020443658655166725
2,chatbot,hard,0.010274966955547428,0.005801739884974899,Inf,-0.0010962342666729283,0.021646168177767783,-0.0010962342666729283,0.021646168177767783
3,chatbot,hard,0.02972521453138731,0.012379400136971102,Inf,0.0054620361127137446,0.05398839295006087,0.0054620361127137446,0.05398839295006087
4,chatbot,hard,0.05838791506678474,0.018687104263227356,Inf,0.021761863735514232,0.09501396639805526,0.021761863735514232,0.09501396639805526
5,chatbot,hard,0.09117374709450517,0.02283928278200878,Inf,0.0464095754090422,0.13593791877996814,0.0464095754090422,0.13593791877996814
6,chatbot,hard,0.08532965501831027,0.01976804016551057,Inf,0.04658500824896836,0.12407430178765219,0.04658500824896836,0.12407430178765219
7,chatbot,hard,0.09121246560087604,0.019447108573044086,Inf,0.05309683319426951,0.12932809800748257,0.05309683319426951,0.12932809800748257
8,chatbot,hard,0.08568251176323283,0.018434022750779527,Inf,0.04955249108151299,0.12181253244495266,0.04955249108151299,0.12181253244495266
9,chatbot,hard,0.1442892591743401,0.023426323267139715,Inf,0.09837450928055358,0.19020400906812662,0.09837450928055358,0.19020400906812662
10,chatbot,hard,0.06696599971059736,0.016778665457262733,Inf,0.03408041970571613,0.09985157971547859,0.03408041970571613,0.09985157971547859
11,chatbot,hard,0.0998388509450221,0.0215580420658073,Inf,0.05758586491884033,0.14209183697120387,0.05758586491884033,0.14209183697120387
12,chatbot,hard,0.08418085364068817,0.02119303361477343,Inf,0.04264327103258554,0.1257184362487908,0.04264327103258554,0.1257184362487908
13,chatbot,hard,0.08983738284741749,0.025443417960554063,Inf,0.03996920000113199,0.139705565693703,0.03996920000113199,0.139705565693703
14,chatbot,hard,0.0317234101947681,0.012798856720040571,Inf,0.006638111980200138,0.05680870840933606,0.006638111980200138,0.05680870840933606
15,chatbot,hard,0.02257164019453417,0.010697993928189094,Inf,0.0016039573884553716,0.04353932300061297,0.0016039573884553716,0.04353932300061297
16,chatbot,hard,0.005853136064559394,0.0039003972231117525,Inf,-0.0017915020181396768,0.013497774147258466,-0.0017915020181396768,0.013497774147258466
17,chatbot,hard,0.00143087691036059,0.0013111853436046051,Inf,-0.0011389991401612111,0.004000752960882391,-0.0011389991401612111,0.004000752960882391
18,chatbot,hard,7.015213351132532e-4,7.703701041820677e-4,Inf,-8.083763238499685e-4,0.002211418994076475,-8.083763238499685e-4,0.002211418994076475
19,chatbot,hard,7.106155048197671e-5,1.3147026862259743e-4,Inf,-1.8661544105612056e-4,3.28738542020074e-4,-1.8661544105612056e-4,3.28738542020074e-4
1,dashboard,hard,3.912818621884936e-5,4.4453526822346147e-5,Inf,-4.799912533873434e-5,1.2625549777643306e-4,-4.799912533873434e-5,1.2625549777643306e-4
2,dashboard,hard,0.0010516407390409779,8.05979001969136e-4,Inf,-5.280490771140656e-4,0.0026313305551960214,-5.280490771140656e-4,0.0026313305551960214
3,dashboard,hard,0.0048294451091269106,0.002847820999420007,Inf,-7.521814841531639e-4,0.010411071702406984,-7.521814841531639e-4,0.010411071702406984
4,dashboard,hard,0.013717278895829584,0.006442922682220473,Inf,0.0010893824835012562,0.02634517530815791,0.0010893824835012562,0.02634517530815791
5,dashboard,hard,0.0296743803595398,0.011183752165765594,Inf,0.007754628902617414,0.05159413181646219,0.007754628902617414,0.05159413181646219
6,dashboard,hard,0.03592966112177464,0.011870595244958745,Inf,0.012663721966603085,0.059195600276946196,0.012663721966603085,0.059195600276946196
7,dashboard,hard,0.04718115765376529,0.013777939378588117,Inf,0.020176892690556416,0.07418542261697417,0.020176892690556416,0.07418542261697417
8,dashboard,hard,0.053219568899006225,0.014383100566866695,Inf,0.025029209801929873,0.08140992799608257,0.025029209801929873,0.08140992799608257
9,dashboard,hard,0.1125263694150894,0.022324565174155993,Inf,0.06877102570322649,0.1562817131269523,0.06877102570322649,0.1562817131269523
10,dashboard,hard,0.06425774840658094,0.016303294118371846,Inf,0.03230387910520843,0.09621161770795345,0.03230387910520843,0.09621161770795345
11,dashboard,hard,0.11493194668828649,0.022274834328592005,Inf,0.07127407364264973,0.15858981973392325,0.07127407364264973,0.15858981973392325
12,dashboard,hard,0.12222814596328252,0.02434655253742493,Inf,0.0745097798422174,0.16994651208434763,0.0745097798422174,0.16994651208434763
13,dashboard,hard,0.17694005563528936,0.03309541700676825,Inf,0.11207423024868922,0.2418058810218895,0.11207423024868922,0.2418058810218895
14,dashboard,hard,0.08711484741529596,0.025292884291901855,Inf,0.037541705138029464,0.13668798969256246,0.037541705138029464,0.13668798969256246
15,dashboard,hard,0.08496918720568603,0.027434650101812688,Inf,0.031198261077675045,0.138740113333697,0.031198261077675045,0.138740113333697
16,dashboard,hard,0.03228700477497215,0.015810404153870063,Inf,0.0012991820523643657,0.06327482749757993,0.0012991820523643657,0.06327482749757993
17,dashboard,hard,0.010706904055361122,0.007746059970886287,Inf,-0.004475094509663376,0.02588890262038562,-0.004475094509663376,0.02588890262038562
18,dashboard,hard,0.007171264989745185,0.006064933209185858,Inf,-0.004715785668900022,0.019058315648390393,-0.004715785668900022,0.019058315648390393
19,dashboard,hard,0.0012242644861085727,0.0018013580204297404,Inf,-0.0023063323571960847,0.00475486132941323,-0.0023063323571960847,0.00475486132941323
