item_key,y_ord,interface_cond,task_complexity,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL
r1,6,chatbot,mid,0.12437334284553436,0.03427381622856482,Inf,0.05719789742480291,0.1915487882662658,0.05719789742480291,0.1915487882662658
r1,7,chatbot,mid,0.03750487639287614,0.017630084640350388,Inf,0.002950545453396597,0.07205920733235568,0.002950545453396597,0.07205920733235568
r1,1,dashboard,mid,0.09233598821212514,0.032123433962169705,Inf,0.02937521458652173,0.15529676183772856,0.02937521458652173,0.15529676183772856
r1,2,dashboard,mid,0.17262085797150933,0.03389839133390577,Inf,0.10618123182320936,0.2390604841198093,0.10618123182320936,0.2390604841198093
r1,3,dashboard,mid,0.14776997940966508,0.023874122824457434,Inf,0.10097755851124285,0.1945624003080873,0.10097755851124285,0.1945624003080873
r1,4,dashboard,mid,0.1472722028630853,0.02273342020389431,Inf,0.10271551801803724,0.19182888770813333,0.10271551801803724,0.19182888770813333
r1,5,dashboard,mid,0.13200249929592311,0.022987562057427365,Inf,0.08694770557098602,0.1770572930208602,0.08694770557098602,0.1770572930208602
r1,6,dashboard,mid,0.21036742683402954,0.03836505408825013,Inf,0.13517330255612814,0.28556155111193093,0.13517330255612814,0.28556155111193093
r1,7,dashboard,mid,0.09763104541366252,0.03382957483625775,Inf,0.031326297122294844,0.1639357937050302,0.031326297122294844,0.1639357937050302
r1,1,chatbot,hard,0.417137882764941,0.07715003705178347,Inf,0.26592658873751474,0.5683491767923673,0.26592658873751474,0.5683491767923673
r1,2,chatbot,hard,0.27049358976744853,0.03146152166992777,Inf,0.20883014039556363,0.3321570391393334,0.20883014039556363,0.3321570391393334
r1,3,chatbot,hard,0.12744221872163242,0.024717030262212274,Inf,0.07899772960290977,0.17588670784035507,0.07899772960290977,0.17588670784035507
r1,4,chatbot,hard,0.08257238188781502,0.021241772789128026,Inf,0.04093927225334116,0.12420549152228888,0.04093927225334116,0.12420549152228888
r1,5,chatbot,hard,0.04961063988002545,0.016305664358956154,Inf,0.01765212499247301,0.0815691547675779,0.01765212499247301,0.0815691547675779
r1,6,chatbot,hard,0.04482052145266513,0.018623507297864866,Inf,0.008319117883031142,0.08132192502229912,0.008319117883031142,0.08132192502229912
r1,7,chatbot,hard,0.007922765525472442,0.005089434738807108,Inf,-0.0020523432642565037,0.017897874315201387,-0.0020523432642565037,0.017897874315201387
r1,1,dashboard,hard,0.42424438223127303,0.07304046330684526,Inf,0.281087704735737,0.5674010597268091,0.281087704735737,0.5674010597268091
r1,2,dashboard,hard,0.26979107563723403,0.03158664443281956,Inf,0.20788239015643512,0.33169976111803295,0.20788239015643512,0.33169976111803295
r1,3,dashboard,hard,0.12584862022339705,0.02406548760002733,Inf,0.07868113125694823,0.17301610918984586,0.07868113125694823,0.17301610918984586
r1,4,dashboard,hard,0.08096875365568756,0.02014099979201677,Inf,0.04149311945070598,0.12044438786066915,0.04149311945070598,0.12044438786066915
r1,5,dashboard,hard,0.04833101988770394,0.015201855156037532,Inf,0.018535931283675863,0.07812610849173202,0.018535931283675863,0.07812610849173202
r1,6,dashboard,hard,0.0432798092167882,0.017109104048590926,Inf,0.009746581473801565,0.07681303695977484,0.009746581473801565,0.07681303695977484
r1,7,dashboard,hard,0.007536339147916182,0.0046614799814399515,Inf,-0.0015999937303605594,0.016672672026192922,-0.0015999937303605594,0.016672672026192922
r2,1,chatbot,easy,0.427152240934243,0.06802065940194543,Inf,0.29383419830176416,0.5604702835667218,0.29383419830176416,0.5604702835667218
r2,2,chatbot,easy,0.2281050903115982,0.02879315254628472,Inf,0.17167154831951242,0.284538632303684,0.17167154831951242,0.284538632303684
r2,3,chatbot,easy,0.1113588802880181,0.020440566325205693,Inf,0.0712961064670127,0.1514216541090235,0.0712961064670127,0.1514216541090235
r2,4,chatbot,easy,0.10494213139583342,0.021461381716144264,Inf,0.06287859617372425,0.14700566661794257,0.06287859617372425,0.14700566661794257
r2,5,chatbot,easy,0.08469784144825199,0.022416009901937557,Inf,0.04076326936336116,0.1286324135331428,0.04076326936336116,0.1286324135331428
r2,6,chatbot,easy,0.03737618211532745,0.014479940127721603,Inf,0.008996020966696806,0.0657563432639581,0.008996020966696806,0.0657563432639581
r2,7,chatbot,easy,0.0063676335067278655,0.0037909139265043463,Inf,-0.0010624212577119724,0.013797688271167704,-0.0010624212577119724,0.013797688271167704
r2,1,dashboard,easy,0.2868154352642446,0.05566759554444416,Inf,0.17770895289119168,0.39592191763729745,0.17770895289119168,0.39592191763729745
r2,2,dashboard,easy,0.2213505146912016,0.02898372617645559,Inf,0.16454345524757785,0.27815757413482534,0.16454345524757785,0.27815757413482534
r2,3,dashboard,easy,0.12816374918953222,0.020707941679668683,Inf,0.08757692930342573,0.1687505690756387,0.08757692930342573,0.1687505690756387
r2,4,dashboard,easy,0.13845736981976253,0.02201743225677255,Inf,0.0953039955644379,0.18161074407508715,0.0953039955644379,0.18161074407508715
r2,5,dashboard,easy,0.13340746771663559,0.026124818595059864,Inf,0.08220376416767597,0.1846111712655952,0.08220376416767597,0.1846111712655952
r2,6,dashboard,easy,0.07446243417162768,0.02194358834461883,Inf,0.031453791324601875,0.11747107701865347,0.031453791324601875,0.11747107701865347
r2,7,dashboard,easy,0.017343029146995814,0.008267970003988148,Inf,0.0011381057139215611,0.03354795258007007,0.0011381057139215611,0.03354795258007007
r2,1,chatbot,mid,0.13347126202435777,0.038004389928012555,Inf,0.0589840265110364,0.20795849753767914,0.0589840265110364,0.20795849753767914
r2,2,chatbot,mid,0.1656434164573456,0.028967610286737354,Inf,0.10886794357714841,0.22241888933754278,0.10886794357714841,0.22241888933754278
r2,3,chatbot,mid,0.12211305695395874,0.02067337715471267,Inf,0.08159398229190878,0.1626321316160087,0.08159398229190878,0.1626321316160087
r2,4,chatbot,mid,0.16087913418388317,0.02217320861674769,Inf,0.1174204438733645,0.20433782449440183,0.1174204438733645,0.20433782449440183
r2,5,chatbot,mid,0.2008739608568504,0.027645142406360828,Inf,0.1466904773929022,0.2550574443207986,0.1466904773929022,0.2550574443207986
r2,6,chatbot,mid,0.1581791198350172,0.032972333120419715,Inf,0.0935545344327374,0.222803705237297,0.0935545344327374,0.222803705237297
r2,7,chatbot,mid,0.05884004968858714,0.02177361744587524,Inf,0.01616454368151867,0.1015155556956556,0.01616454368151867,0.1015155556956556
r2,1,dashboard,mid,0.10410765399635373,0.031091445975994926,Inf,0.0431695396561309,0.16504576833657655,0.0431695396561309,0.16504576833657655
r2,2,dashboard,mid,0.14563322054254735,0.026961764141759083,Inf,0.09278913386503608,0.19847730722005863,0.09278913386503608,0.19847730722005863
r2,3,dashboard,mid,0.11451326201491283,0.020025906199217434,Inf,0.07526320710666926,0.1537633169231564,0.07526320710666926,0.1537633169231564
r2,4,dashboard,mid,0.15924169353381334,0.02216430558444557,Inf,0.11580045284596005,0.20268293422166664,0.11580045284596005,0.20268293422166664
r2,5,dashboard,mid,0.21344515808079534,0.026630300569139356,Inf,0.16125072806780572,0.26563958809378496,0.16125072806780572,0.26563958809378496
r2,6,dashboard,mid,0.18470473706614754,0.0330515133051423,Inf,0.11992496135352225,0.24948451277877282,0.11992496135352225,0.24948451277877282
r2,7,dashboard,mid,0.07835427476542989,0.025855192440292718,Inf,0.0276790287691039,0.1290295207617559,0.0276790287691039,0.1290295207617559
r2,1,chatbot,hard,0.03172968684759284,0.01362571365990777,Inf,0.005023778810518173,0.05843559488466751,0.005023778810518173,0.05843559488466751
r2,2,chatbot,hard,0.06981898325373156,0.020113543221285442,Inf,0.030397162938522362,0.10924080356894077,0.030397162938522362,0.10924080356894077
r2,3,chatbot,hard,0.07088756700856248,0.01702207810680518,Inf,0.03752490697719659,0.10425022703992837,0.03752490697719659,0.10425022703992837
r2,4,chatbot,hard,0.12266530648671045,0.021968997742635152,Inf,0.07960686213470382,0.1657237508387171,0.07960686213470382,0.1657237508387171
r2,5,chatbot,hard,0.21944539107273264,0.02664277001279008,Inf,0.16722652139928035,0.27166426074618494,0.16722652139928035,0.27166426074618494
r2,6,chatbot,hard,0.2789906923308191,0.0348913741401454,Inf,0.2106048556450219,0.34737652901661625,0.2106048556450219,0.34737652901661625
r2,7,chatbot,hard,0.20646237299985093,0.04970990746800774,Inf,0.1090327446877371,0.30389200131196475,0.1090327446877371,0.30389200131196475
r2,1,dashboard,hard,0.037562197560042226,0.014957405010531322,Inf,0.008246222437221895,0.06687817268286256,0.008246222437221895,0.06687817268286256
r2,2,dashboard,hard,0.07818436181820375,0.020504602446223312,Inf,0.037996079506294175,0.11837264413011332,0.037996079506294175,0.11837264413011332
r2,3,dashboard,hard,0.07686121661656024,0.01720356687978221,Inf,0.04314284512656101,0.11057958810655948,0.04314284512656101,0.11057958810655948
r2,4,dashboard,hard,0.1293300999366394,0.021873205695556733,Inf,0.08645940454691184,0.17220079532636698,0.08645940454691184,0.17220079532636698
r2,5,dashboard,hard,0.22293859410937245,0.02639149657029812,Inf,0.17121221133347578,0.27466497688526914,0.17121221133347578,0.27466497688526914
r2,6,dashboard,hard,0.26973336473779297,0.034645372223914686,Inf,0.20182968294793585,0.3376370465276501,0.20182968294793585,0.3376370465276501
r2,7,dashboard,hard,0.18539016522138896,0.045010066173274486,Inf,0.09717205658000641,0.27360827386277153,0.09717205658000641,0.27360827386277153
r3,1,chatbot,easy,0.08531563212755075,0.031197885864866305,Inf,0.02416889943862157,0.14646236481647992,0.02416889943862157,0.14646236481647992
r3,2,chatbot,easy,0.10310152691930274,0.02630921234167415,Inf,0.05153641826800472,0.15466663557060076,0.05153641826800472,0.15466663557060076
r3,3,chatbot,easy,0.09961075973730285,0.022075542701045208,Inf,0.056343491104078186,0.14287802837052752,0.056343491104078186,0.14287802837052752
r3,4,chatbot,easy,0.16310823275252784,0.025830531409794997,Inf,0.11248132148779902,0.21373514401725666,0.11248132148779902,0.21373514401725666
r3,5,chatbot,easy,0.30669029704293127,0.032804630592708356,Inf,0.24239440255508204,0.3709861915307805,0.24239440255508204,0.3709861915307805
r3,6,chatbot,easy,0.1750611856458616,0.03715412589738401,Inf,0.10224043700992204,0.24788193428180116,0.10224043700992204,0.24788193428180116
r3,7,chatbot,easy,0.06711236577452295,0.025891364008234184,Inf,0.016366224807767345,0.11785850674127857,0.016366224807767345,0.11785850674127857
r3,1,dashboard,easy,0.17260396181763604,0.04728718264856187,Inf,0.07992278689608744,0.26528513673918463,0.07992278689608744,0.26528513673918463
r3,2,dashboard,easy,0.15105510893210972,0.0299343318492732,Inf,0.09238489660626398,0.20972532125795545,0.09238489660626398,0.20972532125795545
r3,3,dashboard,easy,0.1234763725265699,0.023518657899954463,Inf,0.07738065007794073,0.16957209497519907,0.07738065007794073,0.16957209497519907
r3,4,dashboard,easy,0.17209557063067743,0.02549582154647023,Inf,0.12212467864333548,0.22206646261801938,0.12212467864333548,0.22206646261801938
r3,5,dashboard,easy,0.25059755133883577,0.03703457047544294,Inf,0.1780111270240572,0.32318397565361434,0.1780111270240572,0.32318397565361434
r3,6,dashboard,easy,0.10298794678206269,0.028612696341218886,Inf,0.04690809245269271,0.15906780111143268,0.04690809245269271,0.15906780111143268
r3,7,dashboard,easy,0.027183487972108455,0.012567125556408135,Inf,0.002552374492355628,0.051814601451861286,0.002552374492355628,0.051814601451861286
r3,1,chatbot,mid,0.018980991709963188,0.010045007013153915,Inf,-7.068602602707426e-4,0.038668843680197115,-7.068602602707426e-4,0.038668843680197115
r3,2,chatbot,mid,0.037068294087432715,0.014340494707305917,Inf,0.00896144094062586,0.06517514723423957,0.00896144094062586,0.06517514723423957
r3,3,chatbot,mid,0.04702232686088928,0.015192720138075882,Inf,0.01724514256306416,0.0767995111587144,0.01724514256306416,0.0767995111587144
r3,4,chatbot,mid,0.10079815706580122,0.023676018881509782,Inf,0.05439401276075177,0.14720230137085066,0.05439401276075177,0.14720230137085066
r3,5,chatbot,mid,0.2938328258551366,0.03419742986228818,Inf,0.22680709496121723,0.360858556749056,0.22680709496121723,0.360858556749056
r3,6,chatbot,mid,0.2882806629803381,0.034410268408190475,Inf,0.22083777620192838,0.35572354975874787,0.22083777620192838,0.35572354975874787
r3,7,chatbot,mid,0.21401674144043892,0.05542787432705855,Inf,0.1053801040197919,0.3226533788610859,0.1053801040197919,0.3226533788610859
r3,1,dashboard,mid,0.07710772596656207,0.027988371587243037,Inf,0.02225152566964158,0.13196392626348255,0.02225152566964158,0.13196392626348255
r3,2,dashboard,mid,0.09692084796622927,0.02461926300296109,Inf,0.04866797915450613,0.1451737167779524,0.04866797915450613,0.1451737167779524
r3,3,dashboard,mid,0.09565330016859816,0.02128158640737011,Inf,0.05394215727627559,0.13736444306092072,0.05394215727627559,0.13736444306092072
r3,4,dashboard,mid,0.1599106602708597,0.025602665787486344,Inf,0.10973035741917067,0.21009096312254874,0.10973035741917067,0.21009096312254874
r3,5,dashboard,mid,0.3108491505389731,0.03189993628187901,Inf,0.2483264243173677,0.3733718767605785,0.2483264243173677,0.3733718767605785
r3,6,dashboard,mid,0.1850519852328062,0.03600180466022103,Inf,0.11448974472032672,0.2556142257452857,0.11448974472032672,0.2556142257452857
r3,7,dashboard,mid,0.0745063298559715,0.026797786475337506,Inf,0.02198363349891544,0.12702902621302756,0.02198363349891544,0.12702902621302756
r3,1,chatbot,hard,0.003998703795870287,0.002749074608510869,Inf,-0.0013893834276245635,0.009386791019365138,-0.0013893834276245635,0.009386791019365138
r3,2,chatbot,hard,0.011166628738835024,0.005891008606020063,Inf,-3.7953596157980565e-4,0.022712793439249854,-3.7953596157980565e-4,0.022712793439249854
r3,3,chatbot,hard,0.01763400840286842,0.007853157608843931,Inf,0.002242102324617627,0.03302591448111921,0.002242102324617627,0.03302591448111921
r3,4,chatbot,hard,0.04724217543221374,0.01631410418652064,Inf,0.015267118786599178,0.0792172320778283,0.015267118786599178,0.0792172320778283
r3,5,chatbot,hard,0.20001520038228798,0.03949283204521933,Inf,0.1226106719261688,0.27741972883840715,0.1226106719261688,0.27741972883840715
r3,6,chatbot,hard,0.3053118285093155,0.032209454165311444,Inf,0.24218245838361144,0.36844119863501956,0.24218245838361144,0.36844119863501956
r3,7,chatbot,hard,0.4146314547386091,0.07413774383061343,Inf,0.2693241469355502,0.559938762541668,0.2693241469355502,0.559938762541668
r3,1,dashboard,hard,0.014431756459797138,0.007728802129093358,Inf,-7.164173568623301e-4,0.029579930276456605,-7.164173568623301e-4,0.029579930276456605
r3,2,dashboard,hard,0.030236165580585405,0.011847576428927477,Inf,0.007015342475801888,0.053456988685368925,0.007015342475801888,0.053456988685368925
r3,3,dashboard,hard,0.0400028634146366,0.013133069735164959,Inf,0.014262519727260302,0.0657432071020129,0.014262519727260302,0.0657432071020129
r3,4,dashboard,hard,0.08946201472260414,0.021872014629407185,Inf,0.046593653779632885,0.13233037566557537,0.046593653779632885,0.13233037566557537
r3,5,dashboard,hard,0.27975709626893885,0.03543441518275022,Inf,0.21030691869750917,0.34920727384036854,0.21030691869750917,0.34920727384036854
r3,6,dashboard,hard,0.29864255022430025,0.03297037717618274,Inf,0.2340217984022807,0.3632633020463198,0.2340217984022807,0.3632633020463198
r3,7,dashboard,hard,0.2474675533291376,0.05729691470608079,Inf,0.1351676640799559,0.35976744257831933,0.1351676640799559,0.35976744257831933
